,Age,Income,Loyalty_Score,Prior_Purchases,Avg_Spend,Recency,Browsing_Time,Clicks_On_Promo,Purchase_Frequency,High_Value_Customer,Engagement_Score,Gender_Male,Promotion_Type_Discount,Promotion_Type_FlashSale,Promotion_Type_LoyaltyPoints,Channel_Email,Channel_In_store,Channel_SMS,Time_of_Day_Evening,Time_of_Day_Morning,Will_Buy
74,35,77699.554940715,58,9,127.07718633146813,42,3.4202869800277598,1,2.2149493231668327,1,51,1,0,0,0,0,0,0,1,1,0
75,43,33948.72850510771,99,3,427.1791643085824,10,29.13605470010616,2,3.440626353318025,1,54,0,0,0,1,0,0,0,1,0,0
76,61,27117.12243612892,3,8,59.73769622532368,13,17.26013157439141,1,2.386398694504772,0,11,0,0,1,0,0,0,0,0,0,0
77,51,39621.378951781335,80,5,154.91628662813895,48,3.9213946995768656,2,4.780506855378223,1,75,1,0,0,0,1,0,0,0,1,0
78,27,49316.209754667536,69,4,390.787517900694,20,10.64889967705058,2,4.525109422139497,1,28,0,0,0,0,1,0,0,0,1,0
79,53,53650.091739840376,85,9,313.7497411541608,29,16.456470394257614,4,2.8103394999905285,1,55,0,0,0,0,1,0,0,1,0,0
80,31,46381.459132155054,10,2,402.2310696620863,57,16.033280535562003,1,3.401488552765324,0,69,1,1,1,1,0,0,0,1,1,0
81,48,55280.83094771445,83,5,385.7677267220546,4,1.1615507246871075,4,0.7611375284762925,1,92,1,0,0,0,1,0,0,0,0,0
82,65,31226.90863714334,25,10,72.77062420481212,46,28.53014692345043,3,3.630787376145792,0,72,1,0,0,1,1,1,1,0,1,0
83,32,71656.46906109889,68,5,451.6301385923682,49,8.333732876100843,3,3.682403928270645,1,26,0,1,1,0,0,1,1,1,1,0
84,25,48767.732324111465,61,4,152.1643254270209,28,0.5839216010635465,1,2.1163968303944363,0,70,0,0,0,0,1,0,1,0,0,0
85,31,66759.43747382192,29,7,299.02659810339367,37,2.385675867613446,3,1.488572976313727,1,32,0,0,0,1,0,0,1,1,1,0
86,40,55140.88019566556,19,3,339.9296704375005,13,17.44782760711451,2,4.617852808176576,1,48,1,0,0,0,1,0,1,1,1,0
87,57,56851.29828730676,43,6,125.88269489829293,57,4.219787068185395,2,2.420172053623075,0,96,0,0,0,0,0,0,0,0,1,0
88,38,58546.50920348306,66,3,489.3040655154385,3,1.347571306319748,1,3.441677471607698,1,12,0,0,0,0,0,0,0,1,1,0
89,33,56715.62840025973,74,3,269.67018023928904,37,11.450831345740069,1,0.6499795773931518,1,70,0,1,0,0,1,1,1,0,0,0
90,62,59640.84139801316,61,4,75.93921301882705,48,18.72055965097164,0,2.363302249595763,0,77,0,0,1,0,0,0,0,1,0,0
91,35,69937.28795198648,43,1,471.76792015002815,19,3.44401016476421,3,4.17766464956246,1,61,1,0,0,1,0,1,0,0,1,0
92,64,52947.817545522055,25,2,313.8205294369706,28,9.468502181324334,3,2.2440920018032178,0,34,1,1,0,1,0,1,0,0,1,0
93,41,60635.05636382769,20,4,364.63693909161935,19,12.591044081573813,3,3.214225220615946,1,87,1,1,1,1,1,0,1,0,0,1
94,43,48653.9645856916,48,5,286.3291054704008,17,4.867856923824338,1,1.4443511021804274,0,81,1,0,0,1,0,0,1,1,0,0
95,42,71601.75823174209,83,8,425.6320796496354,18,15.231609564154631,1,2.3743654197780177,1,45,0,1,0,0,1,0,0,0,0,0
96,62,39854.11546911096,87,7,64.9100579869449,18,2.64790119836295,1,4.67436973123934,1,60,1,0,0,0,1,0,1,0,0,0
97,58,77014.10649366223,24,7,170.77026437471648,57,1.490903040717553,6,3.0490328736546672,1,65,0,1,0,0,0,0,1,0,1,0
98,46,49397.63074033485,11,2,261.3417603812115,23,15.64307747793853,3,4.558691565918192,0,71,1,1,0,1,0,0,0,0,0,0
99,32,28538.37346822928,98,6,84.47162734116952,40,7.512119485251181,1,4.559086847702945,1,13,1,0,1,0,0,0,1,1,0,0
100,62,51921.56622366184,55,8,367.6580011969962,50,2.951676856151023,4,4.748665101910158,1,78,0,0,0,0,0,0,1,0,1,0
101,18,39784.22513787678,28,6,227.14853632503835,9,12.774986365880205,1,4.529262470360473,0,81,0,0,0,0,0,0,0,1,0,0
102,42,62609.65323483086,69,4,172.7005956206648,29,27.4627081115701,1,0.5147650805463528,1,94,1,0,1,0,0,0,0,1,1,0
103,24,40210.640310464136,63,4,51.520481063785525,51,21.753354154959236,2,4.703067012117186,0,48,0,0,1,0,0,0,0,1,0,0
104,26,43307.248501778304,59,4,373.9236402874792,42,24.486915868876125,0,1.1185674758841937,1,49,1,1,0,0,0,0,0,1,1,0
105,41,21656.88903581704,5,1,425.2141889927878,29,26.17022826388323,2,0.6796681300001775,0,98,0,0,1,1,1,0,1,0,0,0
106,18,43215.405211263846,51,6,227.7682410566743,2,29.18156946775293,0,0.7492484056012376,0,91,1,0,0,0,0,1,0,0,0,0
107,61,13641.81010056565,21,8,303.8980896650145,17,22.921072548073774,1,2.070122878293951,0,58,1,1,0,1,1,1,0,1,0,0
108,25,26241.45764771415,12,7,152.4589816683193,57,18.291396865990443,3,3.293618383709571,0,89,1,0,0,0,0,0,1,1,1,0
109,41,61406.21984216446,50,7,329.9889408260599,56,11.026233821037192,3,2.3104003843354888,1,99,1,0,0,1,0,0,1,0,0,0
110,28,61787.00237976248,4,6,55.46185624184024,45,5.531132773075711,2,0.6149942809222076,0,73,0,0,0,0,0,1,0,1,0,0
111,68,56381.86342677447,42,6,269.8897536944413,31,20.6311302321005,1,2.644171853786216,1,70,0,0,0,1,0,0,1,1,1,0
112,34,35495.3578530618,84,4,339.8924668283115,28,29.84900458504606,0,2.4895883402167103,1,61,1,0,0,0,1,0,0,1,0,0
113,25,49284.3296578703,38,3,463.1862979533803,43,14.07402467010568,2,3.905821694757411,1,26,1,1,0,0,0,1,0,1,1,0
114,52,49945.96191364148,25,6,221.60111770502792,48,21.73801310597495,1,1.7582580429144723,0,39,1,0,0,1,0,0,1,1,0,0
115,52,32624.529662111858,14,3,394.3355913414634,52,14.903264254795369,2,1.478890282074652,0,58,0,0,1,0,0,0,1,1,0,0
116,50,72550.97452650726,75,10,318.95916347457535,39,13.01480935856795,4,1.651725309544818,1,27,1,0,1,0,0,1,1,0,0,0
117,22,63160.43435863507,32,5,467.1554508162863,30,12.368137845441462,1,1.866829201834316,1,40,0,0,0,0,0,0,0,1,0,0
118,59,46685.53739255504,11,6,229.26995404674375,35,15.188278019657757,4,3.196241930152249,0,31,0,0,1,0,0,1,0,0,0,0
119,56,50403.28758491796,61,6,193.5929029428446,48,11.070180289774711,0,2.6218646845343594,0,3,1,0,0,0,0,0,1,0,0,0
120,58,53125.74211921329,18,4,449.2138994123647,51,22.48832232247205,1,2.0160255433057603,1,88,0,1,0,0,0,0,0,1,0,0
121,45,19373.97697363564,27,6,72.1599806337301,20,26.240733595086347,0,2.184413712276553,0,15,1,0,0,0,0,0,0,1,1,0
122,24,46292.339262191046,55,5,111.37342682015456,16,26.498270668691006,1,2.169156470715393,0,54,1,0,0,0,1,1,1,1,1,0
123,26,39770.23628003302,54,3,87.08199556282,34,6.908191531432195,1,4.875830126196428,0,70,0,0,1,1,0,0,0,0,1,0
124,25,34975.69985157627,82,2,429.3994804593812,14,26.88768324807157,5,1.5484864462382864,1,11,0,1,1,0,0,0,0,0,0,0
125,29,45783.49560671068,87,3,54.77334051664373,26,10.31238183246764,1,4.181277021225164,0,30,1,0,0,0,0,1,0,0,1,0
126,51,76965.29790274284,75,2,437.74571997367167,20,9.348299198010398,1,3.6869487691468414,1,35,0,0,0,0,0,0,1,0,0,0
127,50,59612.64291900515,21,8,253.07050791707007,42,21.83000611620725,0,0.5250650252159776,0,43,0,0,0,0,0,0,1,1,1,0
128,65,41432.31515325805,44,7,51.81137548428684,51,9.210420568580052,3,4.969292981564696,0,61,0,0,0,0,0,0,0,0,0,0
129,40,58588.74172034238,5,4,230.7403297454188,24,1.6836955277303325,2,3.903977167851081,0,40,1,0,1,0,0,0,0,0,1,0
130,41,70990.33154879004,87,3,134.06037847026602,43,11.271171392078209,2,3.571023138578561,1,93,1,1,0,1,0,1,0,0,1,0
131,54,63869.50524369153,41,3,330.9802193624733,18,21.671821450714635,2,2.323961184544868,1,87,0,1,0,1,1,0,1,1,1,0
132,52,50894.45554880261,59,6,355.71145546474094,43,9.876056766078277,3,2.9984139001143038,1,42,1,0,1,0,1,0,0,0,1,0
133,61,40295.94833441639,89,5,269.3874066822499,9,18.92381577425488,1,1.6397190305036158,1,42,1,0,0,0,0,0,1,1,0,0
134,57,60473.34970420385,54,1,68.23378644785149,19,19.8375713834676,1,0.6596753231556387,0,3,0,0,1,0,0,0,0,0,1,0
135,39,55902.28078132625,74,8,345.25796196524084,20,22.03870675061805,1,4.262097463006878,1,90,0,0,0,1,0,0,0,0,0,0
136,44,63427.89830041598,22,9,428.9174526224845,42,26.924200942697,3,4.534180221565273,1,78,0,0,0,1,1,0,1,1,0,0
137,52,59527.57702522954,83,4,374.1459247968807,30,13.0336785281261,4,1.2311178647640797,1,83,1,0,0,0,1,1,0,0,0,0
138,18,65743.29072979002,65,7,423.4810635298933,26,5.0763190922074655,3,4.041752431305799,1,85,1,0,0,0,0,1,1,0,1,0
139,52,41971.47182659148,64,3,140.22928559789938,31,9.635878891413492,0,3.835187029785464,0,21,0,0,1,0,0,0,0,1,0,0
140,54,69760.91098451489,71,7,449.9995728454172,35,13.021800929702176,3,1.302687508712407,1,73,1,0,0,0,1,0,0,1,0,0
141,64,52963.994070386,4,5,194.98705279158327,3,21.445354932910583,3,2.398229611586572,0,77,1,0,1,0,1,0,0,1,0,0
142,31,81128.91308937898,65,6,56.03216641339596,56,0.4923515542928417,0,2.4024106437534654,0,53,1,0,0,0,0,0,0,1,1,0
143,20,39662.18272865648,15,8,429.5262408480818,40,9.54198296485238,3,3.919839162373618,1,44,0,0,1,0,0,0,0,0,1,0
144,18,76039.45704747873,76,2,473.819571034127,29,23.41729317247757,4,4.26947407599225,1,46,1,0,1,0,0,0,1,0,0,0
145,22,52968.66175193972,22,4,345.0011888378069,6,20.15864532958779,1,0.9264880462611697,0,37,1,0,0,0,0,0,0,0,0,0
146,43,40228.72994578327,86,9,154.1464837085411,52,21.9790252102096,3,3.033361557068913,1,38,0,1,0,1,0,0,1,1,0,0
147,31,42741.71248918518,47,4,163.28500892713868,1,24.373142006231923,2,3.927868236179984,1,88,1,0,1,0,0,1,0,1,0,0
148,56,45194.7903770852,81,4,259.9667930460288,52,23.518747994451072,1,4.037857673293213,1,38,1,0,0,0,1,0,0,0,1,0
149,44,56362.48919602875,93,3,454.0239858206388,24,20.497276667968062,5,1.16597085993684,1,11,0,0,1,1,1,0,0,0,0,0
150,26,57842.5323205325,46,4,117.31894526640129,38,13.245879817880658,1,2.864773144178573,0,93,1,0,0,0,1,0,1,0,0,0
151,32,41394.49994092131,14,4,421.6881513125691,34,29.509590033456803,0,4.3590141786321634,1,45,0,0,1,0,0,0,0,1,1,0
152,32,49634.68111608526,50,6,181.08626391731767,51,17.115288548143205,2,1.9333335946337784,0,64,1,0,0,0,0,1,0,0,0,0
153,43,82134.05537917795,20,7,413.8637762430941,7,6.1627993601282895,1,2.413026045103087,1,44,1,0,1,0,0,0,0,1,1,0
154,59,75913.14755151067,50,3,464.1220389206924,11,8.855104367633052,4,4.119613301013496,1,81,0,0,0,0,0,1,0,1,1,0
155,30,56544.85504511048,33,6,242.3722423974441,11,20.837517433517053,1,0.9019378453269304,0,62,0,0,1,1,0,0,0,1,0,0
156,68,50570.05217252301,59,8,214.27279434748888,36,27.74971299946396,1,4.3677198045004015,1,90,0,0,0,0,0,0,0,0,0,0
157,49,51800.46990077392,43,7,410.9995935370858,20,5.443731863256335,2,1.9002052252886408,1,61,1,0,0,0,0,0,0,1,0,0
158,56,59202.769590956246,79,3,288.2672970707273,16,2.562160222799012,1,0.5065264246600722,1,90,1,0,1,1,0,1,0,1,0,0
159,66,34658.111522023915,12,4,358.0020718084387,5,26.457778336455984,3,1.553716152753612,0,12,0,1,1,0,0,0,1,0,0,0
160,69,46139.35193864982,40,6,330.2731566325308,24,27.466811569493743,5,0.9027528840297792,1,82,0,0,1,0,0,1,1,0,1,0
161,49,24971.23889183616,20,8,118.79998054015834,30,8.363742424945393,1,0.9157320814830986,0,9,0,1,0,0,0,0,0,1,1,0
162,21,55988.34683907919,94,3,430.15566213030274,30,11.38084315870007,2,3.6177608036416617,1,67,1,0,0,0,1,0,0,1,0,0
163,47,59707.93909554112,38,4,138.0988001359113,39,19.839621125185968,3,1.4628935103757916,0,74,1,0,0,0,0,0,0,0,1,0
164,54,42752.20306550939,3,3,469.5269648318514,57,9.964907623189996,3,4.706340633396421,0,2,0,0,0,1,0,0,1,0,0,0
165,40,73609.80144935049,28,8,162.75708113996654,48,26.327045377274583,3,2.824000459660868,1,8,1,0,0,0,0,0,0,0,1,0
166,56,31613.51505496488,56,1,380.24643797318384,47,3.316603211144495,2,2.5704421607971333,0,43,1,1,0,0,1,1,0,1,0,0
167,62,28034.37679685269,90,3,178.0949270721164,37,1.235668406709837,0,2.4542758319906826,0,18,1,0,1,1,0,0,1,1,0,0
168,32,53366.77727839958,94,7,193.00343386408875,33,6.333737581609405,2,3.616644378522343,1,52,0,0,0,0,1,0,1,0,1,0
169,60,65706.47453918232,13,5,189.50083375203735,20,8.654024568328573,3,2.5351824313562377,0,39,1,0,1,0,0,0,1,0,0,0
170,46,75258.91537186803,77,9,386.5515143117375,54,3.476505079537364,2,1.0787016030133634,1,31,0,0,0,1,0,0,1,1,0,0
171,53,43116.7360569659,66,5,300.56680308622686,22,2.064143837285337,0,4.460774812883404,1,14,0,0,1,1,1,0,1,1,0,0
172,30,66180.21250146943,37,4,447.3286051313737,41,22.692670633703766,3,2.427779070165464,1,64,0,1,0,0,0,0,1,1,0,0
173,49,49422.3729574894,49,5,188.31772364182015,58,5.011869320477494,4,0.8330205906477611,0,97,0,0,1,1,0,1,0,1,1,0
174,24,47410.59050088771,66,7,361.39663492553495,21,27.42627375208249,1,2.882146943739925,1,93,0,0,0,0,0,0,1,0,1,0
175,68,63254.89906230009,36,3,388.8268698483998,37,11.103189877298073,4,3.4130608630506654,1,44,0,0,1,1,0,1,1,1,0,0
176,39,59784.84317620129,54,6,118.16695086348118,54,20.151113710668227,0,1.7401210887099134,0,60,1,1,0,1,0,0,0,0,0,0
177,45,26354.11764523626,26,7,230.26521079391503,27,6.839523231587126,3,4.10153183453229,0,97,0,1,0,0,0,0,0,1,0,0
178,19,72148.10524588844,75,4,267.26787245768503,38,7.285650777906818,3,3.513991307168137,1,99,1,0,0,0,0,0,0,1,1,0
179,59,70701.37031221177,72,4,210.05932545246844,35,17.283805165740503,3,3.4265352616899505,1,2,1,1,0,0,1,1,1,1,0,0
180,62,40616.55947735706,40,4,194.95066818611213,38,16.863223461864987,3,2.393712287905074,0,99,1,0,1,1,0,1,0,1,1,0
181,23,55937.05300156114,43,3,358.8889522989389,40,23.08500391756123,2,4.828618856350795,1,32,1,0,0,1,0,0,0,0,1,0
182,45,57410.45279424108,22,4,147.13987894676984,6,22.75861784025855,1,1.7338512557716144,0,36,0,0,1,0,0,0,0,0,0,0
183,45,53910.10648735861,20,2,369.225835363008,32,20.153564163443463,3,3.099674754569537,1,55,1,0,0,1,0,0,1,0,0,0
184,61,41745.42269231869,8,7,470.7698883758288,16,13.52900392021538,1,1.890748208626779,1,87,0,0,1,1,0,1,0,1,1,0
185,61,39925.64948092923,29,6,304.33888452998804,28,26.73014754979045,3,3.851621388371993,1,63,0,0,1,1,0,1,0,1,0,0
186,37,49616.68893512832,40,7,325.14540653276333,16,18.71509685761683,3,0.7150616774155465,1,69,1,0,0,1,1,0,0,1,0,0
187,47,67590.93528889047,90,5,81.01971595584008,27,29.70693486482448,3,0.7065224054377215,1,80,0,0,0,0,0,0,0,1,1,0
188,28,58154.002318916486,30,4,439.0146066280227,53,24.599157556237323,2,4.148874362834562,1,40,1,0,0,0,0,1,0,0,1,0
189,45,44440.78501870841,81,5,178.45150423993948,3,1.424863356025954,3,2.45420672478652,1,24,0,1,0,1,0,0,0,0,0,0
190,42,61575.48065972517,84,4,326.7730244878542,49,9.6857578217015,1,2.035310245701601,1,58,0,0,0,1,0,0,0,0,0,0
191,56,7271.8606905488705,55,7,490.600476385161,21,17.199083922481456,2,3.233870879789023,1,28,0,0,0,0,1,0,0,1,0,0
192,50,67231.48550558156,16,5,317.9761702577635,38,21.671939182357463,1,3.658547047410381,1,62,1,0,0,0,0,0,0,1,1,0
193,18,23904.293318328502,46,6,376.1192693589699,38,16.55506128308205,4,1.4054060607998298,1,25,1,1,0,1,0,1,0,0,1,0
194,44,44563.38587895302,62,5,250.39382820068835,30,23.60529963161924,3,1.334440586321292,1,7,0,0,0,1,1,1,1,1,1,0
195,69,33204.95158060784,7,2,77.16462958177581,22,8.551404017444604,4,4.811678364919467,0,38,0,0,0,0,1,0,0,0,1,0
196,30,30579.777864186413,80,4,408.9197072704048,19,5.5989703318614685,4,3.153489378730562,1,71,1,0,0,0,0,0,0,0,0,0
197,58,67412.4018106778,45,4,65.74947856879355,31,1.7121088453141262,4,2.2555241478242065,0,86,0,1,0,1,1,1,0,0,0,0
